key,timestamp,eventLevel1,eventLevel1Id,eventLevel2,eventLevel2Id,eventLevel3,eventLevel3Id,tx_id,chaincode_id,block_number,endorser,channelId,creatorMSP,registryType,assetClass
Asset:org.acme.vehicle_network.Ordero1,08.05.2019 11.32.46,asset updated,4,orderStatus changed,7,orderStatus:PLACED > SCHEDULED_FOR_MANUFACTURE,7,1bbd5ac0cb774ddb57c1ad11aa55b586cc43ca3c8b02e624c291c72c5128f851,vehicle-manufacture-network,6,Org1MSP,composerchannel,Org1MSP,Asset,org.acme.vehicle_network.Order
Asset:org.acme.vehicle_network.Ordero1,08.05.2019 11.32.56,asset updated,4,orderStatus changed,7,orderStatus:SCHEDULED_FOR_MANUFACTURE > VIN_ASSIGNED,8,dfdd053721d814cb3ff5fcf0f09be2bfc4c36b7c1e5bf98c35f6b09d0be267d6,vehicle-manufacture-network,7,Org1MSP,composerchannel,Org1MSP,Asset,org.acme.vehicle_network.Order
Asset:org.acme.vehicle_network.Ordero1,08.05.2019 11.33.06,asset updated,4, changed,9,,18,ebb5c302770e3b22dd2ccb43abac5e83ff8ebdf7d8124969a429f0998cc68c55,vehicle-manufacture-network,8,Org1MSP,composerchannel,Org1MSP,Asset,org.acme.vehicle_network.Order
Asset:org.acme.vehicle_network.Ordero1,08.05.2019 11.33.06,asset updated,4,orderStatus changed,7,orderStatus:VIN_ASSIGNED > OWNER_ASSIGNED,10,508c8e77f6cb6301a281ed1ae3b4222b0cd7cbf1c7950416b5c1cb486764ddf5,vehicle-manufacture-network,8,Org1MSP,composerchannel,Org1MSP,Asset,org.acme.vehicle_network.Order
Asset:org.acme.vehicle_network.Ordero1,08.05.2019 11.33.16,asset updated,4,orderStatus changed,7,orderStatus:OWNER_ASSIGNED > DELIVERED,19,d5bb76de10f924aa50cf394211e4b092a4ea052f361312f5dd4d86f44a133549,vehicle-manufacture-network,10,Org1MSP,composerchannel,Org1MSP,Asset,org.acme.vehicle_network.Order
Asset:org.acme.vehicle_network.Ordero10,08.05.2019 11.32.46,asset updated,4,orderStatus changed,7,orderStatus:PLACED > SCHEDULED_FOR_MANUFACTURE,7,dc0fc0958cb806c33bd0f20bd9c7d056e2994d2a0be6a041cd4bc2fc83b4b777,vehicle-manufacture-network,6,Org1MSP,composerchannel,Org1MSP,Asset,org.acme.vehicle_network.Order
Asset:org.acme.vehicle_network.Ordero10,08.05.2019 11.33.16,asset updated,4,orderStatus changed,7,orderStatus:SCHEDULED_FOR_MANUFACTURE > DELIVERED,20,62649421633be4a175bfb0bb9d315d46bfa0cb49871553af4448c9fa6d8c773b,vehicle-manufacture-network,10,Org1MSP,composerchannel,Org1MSP,Asset,org.acme.vehicle_network.Order
Asset:org.acme.vehicle_network.Ordero11,08.05.2019 11.32.46,asset updated,4,orderStatus changed,7,orderStatus:PLACED > SCHEDULED_FOR_MANUFACTURE,7,c966efb0aef810097c5a68d60ac0c8998371555b0471d844747e6be408785d59,vehicle-manufacture-network,6,Org1MSP,composerchannel,Org1MSP,Asset,org.acme.vehicle_network.Order
Asset:org.acme.vehicle_network.Ordero11,08.05.2019 11.33.06,asset updated,4,orderStatus changed,7,orderStatus:SCHEDULED_FOR_MANUFACTURE > VIN_ASSIGNED,8,1b6f9dccf073d93ddc2a0ad1dc927f447027c72fa790de3902cc60d2b0899073,vehicle-manufacture-network,8,Org1MSP,composerchannel,Org1MSP,Asset,org.acme.vehicle_network.Order
Asset:org.acme.vehicle_network.Ordero11,08.05.2019 11.33.16,asset updated,4,orderStatus changed,7,orderStatus:VIN_ASSIGNED > DELIVERED,21,7d676b2bce49d532f98e4b9789f5aa748ec06158ab444cdd8c8bdd42e5187284,vehicle-manufacture-network,10,Org1MSP,composerchannel,Org1MSP,Asset,org.acme.vehicle_network.Order
